SQLDATE,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,EventCode,GoldsteinScale,SOURCEURL
20260407,"San Antonio, Texas, United States",29.4241,-98.4936,130,-4.4,https://spnfa.ir/20260407/28937912.html
20260407,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.nbclosangeles.com/news/national-international/live-updates-iran-war-us-israel-middle-east-april-7/3872287/
20260407,"Texas, United States",31.106,-97.6475,138,-7.0,https://dnes.dir.bg/comments/teheran-porazi-desetki-tseli-v-tel-aviv-s-kasetachni-bombi
20260407,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://www.dailymail.co.uk/tvshowbiz/article-15711661/lindsey-buckingham-stalker-assault.html
20260407,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.nbclosangeles.com/news/national-international/live-updates-iran-war-us-israel-middle-east-april-7/3872287/
20260407,"Los Angeles, California, United States",34.0522,-118.244,140,-6.5,https://nypost.com/2026/04/06/us-news/san-diego-high-school-reverses-student-suspension-after-legal-action-from-free-speech-group/
20260407,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://www.yahoo.com/news/articles/health-officials-report-record-number-050000676.html
20260407,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.counterpunch.org/2026/04/07/remembering-a-red-scare-hero-h-chandler-davis/
20260407,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.el-balad.com/16904592
20260407,"Michigan State University, Michigan, United States",42.4053,-85.4019,139,-7.0,https://www.clickondetroit.com/news/local/2026/04/07/higher-gas-prices-squeeze-metro-detroiters-as-trump-pressures-iran-on-strait-of-hormuz-reopening/
20260407,"Michigan, United States",43.3504,-84.5603,130,-4.4,http://www.jpost.com/diaspora/article-892283
20260407,"Michigan, United States",43.3504,-84.5603,130,-4.4,http://www.jpost.com/diaspora/article-892283
20260407,"Michigan, United States",43.3504,-84.5603,141,-6.5,https://www.wnmufm.org/health/2026-04-07/nurses-to-hold-week-of-action-across-michigan
20260407,"Michigan, United States",43.3504,-84.5603,141,-6.5,https://www.wnmufm.org/health/2026-04-07/nurses-to-hold-week-of-action-across-michigan
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.newsweek.com/republicans-could-lose-these-four-senate-seats-analyst-11790704
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.newsweek.com/republicans-could-lose-these-four-senate-seats-analyst-11790704
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.elwatannews.com/news/details/8260365
20260407,"Travis County, Texas, United States",30.3335,-97.8003,130,-4.4,https://mynews4.com/news/nation-world/four-texas-teens-charged-in-brutal-kidnapping-and-torture-of-classmate-austin-del-valle-high-school-felony-charges-planned-attack-deadly-weapon-pizza
20260407,"Houston, Texas, United States",29.7633,-95.3633,141,-6.5,https://rbj.net/2026/04/07/rochester-region-companies-support-artemis-ii-moon-mission/
20260407,"Texas, United States",31.106,-97.6475,139,-7.0,https://www.express.co.uk/news/world/2191227/iran-war-live-trump-israel-kharg-island
